,Price,Street Address,Locality,Beds,sqft,fullBaths,halfBath,Lot Size
0,"$725,000",0 Gateway,"Rock Springs, WY 82901",None,None,None,None,
1,"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",4,None,None,None,0.21 Acres
2,"$396,900",600 Talladega,"Rock Springs, WY 82901",5,"3,154",None,None,
3,"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901",4,"3,076",None,None,"Under 1/2 Acre, "
4,"$254,000",522 Emerald Street,"Rock Springs, WY 82901",3,"1,172",None,None,"Under 1/2 Acre, "
5,"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901",4,"1,932",None,None,0.27 Acres
6,"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901",4,"1,676",None,None,"Under 1/2 Acre, "
7,"$209,000",913 Madison Dr,"Rock Springs, WY 82901",3,"1,344",None,None,"Under 1/2 Acre, "
8,"$199,900",1344 Teton Street,"Rock Springs, WY 82901",3,"1,920",None,None,"Under 1/2 Acre, "
9,"$196,900",4 Minnies Lane,"Rock Springs, WY 82901",3,"1,664",None,None,2.02 Acres
